m_id,year,date,match_no,team1,team2,city,venue,toss_winner,toss_decision,t1_p1,t1_p2,t1_p3,t1_p4,t1_p5,t1_p6,t1_p7,t1_p8,t1_p9,t1_p10,t1_p11,t2_p1,t2_p2,t2_p3,t2_p4,t2_p5,t2_p6,t2_p7,t2_p8,t2_p9,t2_p10,t2_p11,winner,win_runs,win_wicket
2009,94,2009-05-08,35th match,Delhi Daredevils,Mumbai Indians,East London,Buffalo Park,Mumbai Indians,bat,Tillakaratne Dilshan,Dinesh Karthik,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Rajat Bhatia,Pradeep Sangwan,Dirk Nannes,David Warner,Sachin Tendulkar,Harbhajan Singh,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Luke Ronchi,Ajinkya Rahane,Dhawal Kulkarni,Abhishek Nayar,Rohan Raje,Pinal Shah,Delhi Daredevils,,7

2009,95,2009-05-09,36th match,Deccan Chargers,Kings XI Punjab,Kimberley,Diamond Oval,Kings XI Punjab,bowl,Adam Gilchrist,Andrew Symonds,Herschelle Gibbs,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Ryan Harris,Dwaraka Ravi Teja,Shoaib Ahmed,Tirumalsetti Suman,Brett Lee,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,S Sreesanth,Piyush Chawla,Ramesh Powar,Wilkin Mota,Sunny Sohal,Kings XI Punjab,,3

2009,96,2009-05-09,37th match,Chennai Super Kings,Rajasthan Royals,Kimberley,Diamond Oval,Rajasthan Royals,bat,Jacob Oram,Lakshmipathy Balaji,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Sudeep Tyagi,Murali Vijay,Shadab Jakati,Shane Warne,Graeme Smith,Ravindra Jadeja,Shane Harwood,Yusuf Pathan,Swapnil Asnodkar,Siddharth Trivedi,Naman Ojha,Lee Carseldine,Amit Singh,Abhishek Raut,Chennai Super Kings,,7

2009,97,2009-05-10,38th match,Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,St George's Park,Mumbai Indians,bat,Rahul Dravid,Anil Kumble,Mark Boucher,Jacques Kallis,Ross Taylor,Robin Uthappa,Virat Kohli,Vinay Kumar,Roelof van der Merwe,KP Appanna,Abhimanyu Mithun,Sachin Tendulkar,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Ajinkya Rahane,Dhawal Kulkarni,Abhishek Nayar,Chetanya Nanda,Yogesh Takawale,Mumbai Indians,16,

2009,98,2009-05-10,39th match,Delhi Daredevils,Kolkata Knight Riders,Johannesburg,The Wanderers Stadium,Delhi Daredevils,bowl,Tillakaratne Dilshan,Dinesh Karthik,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Rajat Bhatia,Pradeep Sangwan,Dirk Nannes,David Warner,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Brad Hodge,Murali Kartik,Morne van Wyk,Ishant Sharma,Moises Henriques,Wriddhiman Saha,Yashpal Singh,Sourav Sarkar,Delhi Daredevils,,7

2009,99,2009-05-11,40th match,Deccan Chargers,Rajasthan Royals,Kimberley,Diamond Oval,Deccan Chargers,bat,Adam Gilchrist,Andrew Symonds,Chaminda Vaas,Dwayne Smith,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Dwaraka Ravi Teja,Shoaib Ahmed,Tirumalsetti Suman,Shane Warne,Graeme Smith,Munaf Patel,Ravindra Jadeja,Morne Morkel,Yusuf Pathan,Swapnil Asnodkar,Siddharth Trivedi,Naman Ojha,Lee Carseldine,Abhishek Raut,Deccan Chargers,53,

2009,100,2009-05-12,41st match,Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,SuperSport Park,Royal Challengers Bangalore,bowl,Rahul Dravid,Anil Kumble,Mark Boucher,Jacques Kallis,Ross Taylor,Robin Uthappa,Jesse Ryder,Virat Kohli,Vinay Kumar,Balachandra Akhil,KP Appanna,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Murali Kartik,David Hussey,Ishant Sharma,Ajantha Mendis,Wriddhiman Saha,Angelo Mathews,Yashpal Singh,Arindam Ghosh,Royal Challengers Bangalore,,6

2009,101,2009-05-12,42nd match,Kings XI Punjab,Mumbai Indians,Centurion,SuperSport Park,Kings XI Punjab,bat,Brett Lee,Yuvraj Singh,Irfan Pathan,Kumar Sangakkara,Simon Katich,S Sreesanth,Piyush Chawla,Luke Pomersbach,Karan Goel,Wilkin Mota,Sunny Sohal,Sachin Tendulkar,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Ajinkya Rahane,Dhawal Kulkarni,Abhishek Nayar,Yogesh Takawale,Rohan Raje,Mumbai Indians,,8

2009,102,2009-05-13,43rd match,Deccan Chargers,Delhi Daredevils,Durban,Kingsmead,Deccan Chargers,bowl,Adam Gilchrist,Andrew Symonds,Chaminda Vaas,Dwayne Smith,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Dwaraka Ravi Teja,Shoaib Ahmed,Tirumalsetti Suman,Virender Sehwag,Tillakaratne Dilshan,Dinesh Karthik,Ashish Nehra,Gautam Gambhir,AB de Villiers,Amit Mishra,Rajat Bhatia,Pradeep Sangwan,Dirk Nannes,David Warner,Delhi Daredevils,12,

