487,Jalaj Saxena
488,Jasprit Bumrah
489,Javed Khan
490,Nathan Coulter-Nile
491,Phillip Hughes
492,Ishwar Pandey
493,Kane Richardson
494,Parvez Rasool
495,Udit Birla
496,Chris Barnwell
497,KL Rahul
498,Ravi Rampaul
499,Sandeep Warrier
500,Sheldon Jackson
501,Kumar Boresa
502,Kusal Perera
503,Pravin Tambe
504,Sachin Baby
505,Darren Sammy
506,Hanuma Vihari
507,Quinton de Kock
508,Thalaivan Sargunam
509,Matt Henry
510,HS Sharath
511,Imran Tahir
512,Jimmy Neesham
513,Jayant Yadav
514,Milind Kumar
515,Pat Cummins
516,Sayan Mondal
517,Beuran Hendricks
518,Karanveer Singh
519,Shardul Thakur
520,Shivam Sharma
521,Ben Dunk
522,Corey Anderson
523,Josh Hazlewood
524,Krishmar Santokie
525,Lendl Simmons
526,Shreyas Gopal
527,Mitchell Starc
528,Nic Maddinson
529,Amit Mishra
530,Ankush Bains
531,Deepak Hooda
532,Rahul Tewatia
533,Brendan Taylor
534,Chama Milind
535,Ricky Bhui
536,Andrew Tye
537,Pratyush Singh
538,Domnic Muthuswami
539,Gurinder Sandhu
540,KK Jiyas
541,Marcus Stoinis
542,Shreyas Iyer
543,Srikar Bharat
544,Travis Head
545,Aditya Garhwal
546,KC Cariappa
547,Vaibhav Rawal
548,Nikhil Naik
549,Yogesh Golwalkar
550,Akshay Wakhare
551,Alex Hales
552,Colin Munro
553,Hardik Pandya
554,Jagadeesha Suchith
555,Mitchell McClenaghan
556,Nitish Rana
557,Siddhesh Lad
558,Adam Milne
559,David Wiese
560,Sarfaraz Khan
561,Sean Abbott
562,Shishir Bhavane
563,Barinder Sran
564,Pardeep Sahu
565,Sagar Trivedi
566,Kane Williamson
567,Trent Boult
568,Akhil Herwadkar
569,Carlos Brathwaite
570,Khaleel Ahmed
571,Mahipal Lomror
572,Rishabh Pant
573,Sam Billings
574,Akshdeep Nath
575,Ishan Kishan
576,Shivil Kaushik
577,Umang Sharma
578,Manan Sharma
579,Armaan Jaffer
580,Farhaan Behardien
581,Hashim Amla
582,Deepak Punia
583,Jitesh Sharma
584,Jos Buttler
585,Kishore Kamath
586,Krunal Pandya
587,Martin Guptill
588,Nathu Singh
589,Akshay Karnewar
590,Chris Jordan
591,Joel Paris
592,Praveen Dubey
593,Tabraiz Shamsi
594,Vikas Tokas
595,Adam Zampa
596,Murugan Ashwin
597,Peter Handscomb
598,Scott Boland
599,Usman Khawaja
600,D'Arcy Short
601,Mustafizur Rahman
602,Ankit Bawne
603,Kagiso Rabada
604,Navdeep Saini
605,Shashank Singh
606,Ankit Soni
607,Basil Thampi
608,Chirag Suri
609,Jason Roy
610,Pratham Singh
611,Rinku Singh
612,Shelley Shaurya
613,Shubham Agarwal
614,Tejas Baroka
615,Chris Woakes
616,Colin de Grandhomme
617,Rovman Powell
618,Sanjay Yadav
619,Sayan Ghosh
620,T Natarajan
621,Asela Gunaratne
622,Krishnappa Gowtham
623,Kulwant Khejroliya
624,Nicholas Pooran
625,Avesh Khan
626,Billy Stanlake
